Time,Obstacle Distance,Obstacle Height,Obstacle Size,Velocity,Dino Jumping,Dino Ducking,Action
700,414.47186279296875,347.0,33.0,307.0,0.0,0.0,2
1300,228.78729248046875,347.0,33.0,313.0,0.0,0.0,2
1627,126.22181701660156,347.0,33.0,316.2699890136719,1.0,0.0,0
2000,7.565080165863037,347.0,33.0,320.0,1.0,0.0,2
2500,351.3136901855469,320.0,30.0,325.0,0.0,0.0,2
2600,318.4391174316406,320.0,30.0,326.0,0.0,0.0,2
2800,253.36831665039062,320.0,30.0,328.0,0.0,0.0,2
2822,246.47840881347656,320.0,30.0,328.2200012207031,0.0,1.0,1
2900,220.51968383789062,320.0,30.0,329.0,0.0,1.0,2
3000,187.57125854492188,320.0,30.0,330.0,0.0,1.0,2
3100,154.52284240722656,320.0,30.0,331.0,0.0,1.0,2
3500,20.994035720825195,320.0,30.0,335.0,0.0,1.0,2
4000,295.0347595214844,357.0,23.0,340.0,0.0,0.0,2
4460,137.24867248535156,357.0,23.0,344.6000061035156,1.0,0.0,0
4600,88.21826934814453,357.0,23.0,346.0,1.0,0.0,2
4700,54.26266098022461,357.0,23.0,347.0,1.0,0.0,2
4800,19.167308807373047,357.0,23.0,348.0,1.0,0.0,2
5100,276.41168212890625,342.0,38.0,351.0,1.0,0.0,2
5400,170.66632080078125,342.0,38.0,354.0,0.0,0.0,2
5499,135.57286071777344,342.0,38.0,354.989990234375,1.0,0.0,0
6400,281.3749694824219,349.0,31.0,364.0,0.0,0.0,2
6500,244.5615692138672,349.0,31.0,365.0,0.0,0.0,2
6726,162.1847686767578,349.0,31.0,367.260009765625,1.0,0.0,0
7200,621.4267578125,360.0,20.0,372.0,1.0,0.0,2
7300,583.8054809570312,360.0,20.0,373.0,1.0,0.0,2
7500,510.5015563964844,360.0,20.0,375.0,1.0,0.0,2
7600,473.3289794921875,360.0,20.0,376.0,0.0,0.0,2
8000,322.1380615234375,360.0,20.0,380.0,0.0,0.0,2
8300,207.69461059570312,360.0,20.0,383.0,0.0,0.0,2
8416,163.2021026611328,360.0,20.0,384.1600036621094,1.0,0.0,0
8500,130.5142059326172,360.0,20.0,385.0,1.0,0.0,2
9100,231.7553253173828,320.0,30.0,391.0,1.0,0.0,2
9152,211.4108123779297,320.0,30.0,391.5199890136719,1.0,1.0,1
9200,191.82350158691406,320.0,30.0,392.0,1.0,1.0,2
9300,153.35987854003906,320.0,30.0,393.0,0.0,1.0,2
9800,515.71337890625,320.0,30.0,398.0,0.0,1.0,2
10200,356.91357421875,320.0,30.0,402.0,0.0,0.0,2
10400,276.316162109375,320.0,30.0,404.0,0.0,0.0,2
10458,252.8681640625,320.0,30.0,404.5799865722656,0.0,1.0,1
10800,113.92137145996094,320.0,30.0,408.0,0.0,1.0,2
11500,494.9395751953125,356.0,24.0,415.0,0.0,0.0,2
11900,328.1487731933594,356.0,24.0,419.0,0.0,0.0,2
12100,243.73219299316406,356.0,24.0,421.0,0.0,0.0,2
12195,204.11521911621094,356.0,24.0,421.95001220703125,1.0,0.0,0
12300,159.33460998535156,356.0,24.0,423.0,1.0,0.0,2
12500,74.53694152832031,356.0,24.0,425.0,1.0,0.0,2
12900,494.11785888671875,357.0,23.0,429.0,1.0,0.0,2
13200,365.4059143066406,357.0,23.0,432.0,0.0,0.0,2
13300,321.2930908203125,357.0,23.0,433.0,0.0,0.0,2
13500,234.93002319335938,357.0,23.0,435.0,0.0,0.0,2
13600,191.38194274902344,357.0,23.0,436.0,0.0,0.0,2
13671,160.83880615234375,357.0,23.0,436.7099914550781,1.0,0.0,0
13700,147.7338409423828,357.0,23.0,437.0,1.0,0.0,2
14674,184.4838409423828,320.0,30.0,446.739990234375,0.0,1.0,1
14700,171.97207641601562,320.0,30.0,447.0,0.0,1.0,2
15100,474.4496765136719,320.0,30.0,451.0,0.0,1.0,2
15300,385.41070556640625,320.0,30.0,453.0,0.0,0.0,2
15781,166.8249969482422,320.0,30.0,457.80999755859375,0.0,1.0,1
16100,20.281991958618164,320.0,30.0,461.0,0.0,1.0,2
16200,571.6830444335938,360.0,20.0,462.0,0.0,1.0,2
17000,201.20852661132812,360.0,20.0,470.0,0.0,0.0,2
17106,151.8052978515625,360.0,20.0,471.05999755859375,1.0,0.0,0
17400,12.889694213867188,360.0,20.0,474.0,1.0,0.0,2
17500,382.129638671875,353.0,27.0,475.0,1.0,0.0,2
17900,194.67083740234375,353.0,27.0,479.0,1.0,0.0,2
17963,164.47610473632812,353.0,27.0,479.6300048828125,1.0,0.0,0
18300,0.836620569229126,353.0,27.0,483.0,1.0,0.0,2
18700,316.8377685546875,320.0,30.0,487.0,1.0,0.0,2
19000,169.8057403564453,320.0,30.0,490.0,0.0,0.0,2
19034,153.14065551757812,320.0,30.0,490.3399963378906,1.0,0.0,0
19200,71.60954284667969,320.0,30.0,492.0,1.0,0.0,2
19300,23.347185134887695,320.0,30.0,493.0,1.0,0.0,2
