Time,Obstacle Distance,Obstacle Height,Obstacle Size,Velocity,Dino Jumping,Dino Ducking,Action
500,507.69476318359375,359.0,21.0,305.0,0.0,0.0,2
600,476.84033203125,359.0,21.0,306.0,0.0,0.0,2
900,384.59246826171875,359.0,21.0,309.0,0.0,0.0,2
1000,353.3333740234375,359.0,21.0,310.0,0.0,0.0,2
1400,228.84693908691406,359.0,21.0,314.0,0.0,0.0,2
1500,197.39773559570312,359.0,21.0,315.0,0.0,0.0,2
1713,130.0778350830078,359.0,21.0,317.1300048828125,1.0,0.0,0
1800,102.4505386352539,359.0,21.0,318.0,1.0,0.0,2
1900,70.60148620605469,359.0,21.0,319.0,1.0,0.0,2
2000,38.65243911743164,359.0,21.0,320.0,1.0,0.0,2
2100,6.6033101081848145,359.0,21.0,321.0,1.0,0.0,2
2128,303.27392578125,344.0,36.0,321.2799987792969,1.0,1.0,1
2200,279.7952575683594,344.0,36.0,322.0,1.0,1.0,2
2400,215.84332275390625,344.0,36.0,324.0,0.0,1.0,2
2500,183.3942413330078,344.0,36.0,325.0,0.0,1.0,2
2600,150.8451385498047,344.0,36.0,326.0,0.0,0.0,2
2700,118.19601440429688,344.0,36.0,327.0,1.0,0.0,0
2800,85.44698333740234,344.0,36.0,328.0,1.0,0.0,2
2900,52.59789276123047,344.0,36.0,329.0,1.0,0.0,2
3200,529.6026000976562,320.0,30.0,332.0,1.0,0.0,2
3259,510.994873046875,320.0,30.0,332.5899963378906,1.0,1.0,1
3400,464.0016784667969,320.0,30.0,334.0,1.0,1.0,2
3600,397.003662109375,320.0,30.0,336.0,0.0,0.0,2
3700,363.3545837402344,320.0,30.0,337.0,0.0,0.0,2
3900,295.7565002441406,320.0,30.0,339.0,0.0,0.0,2
3992,264.52703857421875,320.0,30.0,339.9200134277344,0.0,1.0,1
4000,261.4674377441406,320.0,30.0,340.0,0.0,1.0,2
4100,227.41737365722656,320.0,30.0,341.0,0.0,1.0,2
4200,193.26739501953125,320.0,30.0,342.0,0.0,1.0,2
4600,56.013160705566406,320.0,30.0,346.0,0.0,1.0,2
5000,325.35089111328125,346.0,34.0,350.0,0.0,0.0,2
5100,290.65283203125,346.0,34.0,351.0,0.0,0.0,2
5400,184.55467224121094,346.0,34.0,354.0,0.0,0.0,2
5535,136.6748809814453,346.0,34.0,355.3500061035156,1.0,0.0,0
5600,113.55662536621094,346.0,34.0,356.0,1.0,0.0,2
5700,77.5506362915039,346.0,34.0,357.0,1.0,0.0,2
6045,509.3828125,343.0,37.0,360.45001220703125,1.0,1.0,1
6200,454.1148986816406,343.0,37.0,362.0,1.0,1.0,2
6300,418.2279052734375,343.0,37.0,363.0,0.0,1.0,2
6400,381.5148620605469,343.0,37.0,364.0,0.0,1.0,2
6600,308.8807678222656,343.0,37.0,366.0,0.0,1.0,2
6986,166.86338806152344,343.0,37.0,369.8599853515625,1.0,0.0,0
7000,161.6844940185547,343.0,37.0,370.0,1.0,0.0,2
7200,87.48625946044922,343.0,37.0,372.0,1.0,0.0,2
7300,50.237091064453125,343.0,37.0,373.0,1.0,0.0,2
7400,12.513959884643555,343.0,37.0,374.0,1.0,0.0,2
7429,2.0379793643951416,343.0,37.0,374.2900085449219,1.0,1.0,1
7600,219.32907104492188,320.0,30.0,376.0,1.0,1.0,2
7700,181.68002319335938,320.0,30.0,377.0,0.0,1.0,2
7900,106.08201599121094,320.0,30.0,379.0,0.0,1.0,2
8000,67.75299835205078,320.0,30.0,380.0,0.0,1.0,2
8200,581.9930419921875,320.0,30.0,382.0,0.0,1.0,2
8600,429.5461730957031,320.0,30.0,386.0,0.0,0.0,2
9067,248.19821166992188,320.0,30.0,390.6700134277344,1.0,0.0,0
9100,235.3009796142578,320.0,30.0,391.0,1.0,0.0,2
9400,117.55389404296875,320.0,30.0,394.0,1.0,0.0,2
9500,78.10487365722656,320.0,30.0,395.0,1.0,0.0,2
