Time,Obstacle Distance,Obstacle Height,Obstacle Size,Velocity,Dino Jumping,Dino Ducking,Action
100,563.7607421875,320.0,30.0,301.0,0.0,0.0,2
300,503.0616149902344,320.0,30.0,303.0,0.0,0.0,2
500,442.2636413574219,320.0,30.0,305.0,0.0,0.0,2
600,411.7145690917969,320.0,30.0,306.0,0.0,0.0,2
700,380.75860595703125,320.0,30.0,307.0,0.0,0.0,2
900,319.46746826171875,320.0,30.0,309.0,0.0,0.0,2
1000,288.5184631347656,320.0,30.0,310.0,0.0,0.0,2
1000,287.8984375,320.0,30.0,310.0,0.0,0.0,2
1300,195.07159423828125,320.0,30.0,313.0,0.0,0.0,2
1480,138.5714569091797,320.0,30.0,314.79998779296875,1.0,0.0,0
1500,132.27366638183594,320.0,30.0,315.0,1.0,0.0,2
1575,108.62133026123047,320.0,30.0,315.75,1.0,0.0,0
1580,107.04251098632812,320.0,30.0,315.79998779296875,1.0,1.0,1
1900,5.477859973907471,320.0,30.0,319.0,0.0,1.0,2
2000,200.25784301757812,346.0,34.0,320.0,0.0,1.0,2
2013,196.09701538085938,346.0,34.0,320.1300048828125,0.0,1.0,1
2300,104.77313232421875,346.0,34.0,323.0,0.0,0.0,2
2400,72.42413330078125,346.0,34.0,324.0,0.0,0.0,2
2406,70.48001861572266,346.0,34.0,324.05999755859375,1.0,0.0,0
2500,39.97517395019531,346.0,34.0,325.0,1.0,0.0,2
2700,283.4226379394531,358.0,22.0,327.0,1.0,0.0,2
2900,218.48081970214844,358.0,22.0,329.0,1.0,0.0,2
3000,185.2018585205078,358.0,22.0,330.0,1.0,0.0,2
3287,90.4130630493164,358.0,22.0,332.8699951171875,1.0,0.0,0
3400,52.73606491088867,358.0,22.0,334.0,1.0,0.0,2
3500,19.28708267211914,358.0,22.0,335.0,1.0,0.0,2
3600,476.3443908691406,352.0,28.0,336.0,1.0,0.0,2
3854,391.3526916503906,352.0,28.0,338.5400085449219,1.0,1.0,1
3886,380.5143127441406,352.0,28.0,338.8599853515625,1.0,1.0,0
3900,376.1083068847656,352.0,28.0,339.0,1.0,1.0,2
4000,341.8193664550781,352.0,28.0,340.0,1.0,1.0,2
4100,308.1104736328125,352.0,28.0,341.0,0.0,1.0,2
4200,273.6195373535156,352.0,28.0,342.0,0.0,0.0,2
4300,239.36961364746094,352.0,28.0,343.0,0.0,0.0,2
4600,136.36578369140625,352.0,28.0,346.0,0.0,0.0,2
4696,103.10472869873047,352.0,28.0,346.9599914550781,1.0,0.0,0
4900,32.11899948120117,352.0,28.0,349.0,1.0,0.0,2
5000,349.5495910644531,359.0,21.0,350.0,1.0,0.0,2
5100,314.4996337890625,359.0,21.0,351.0,1.0,0.0,2
5200,280.4049377441406,359.0,21.0,352.0,1.0,0.0,2
5300,245.15594482421875,359.0,21.0,353.0,1.0,0.0,2
5600,138.8088836669922,359.0,21.0,356.0,0.0,0.0,2
5612,134.5363006591797,359.0,21.0,356.1199951171875,0.0,1.0,1
