Time,Obstacle Distance,Obstacle Height,Obstacle Size,Velocity,Dino Jumping,Dino Ducking,Action
200,533.9111938476562,352.0,28.0,302.0,0.0,0.0,2
400,473.3131103515625,352.0,28.0,304.0,0.0,0.0,2
500,442.8641052246094,352.0,28.0,305.0,0.0,0.0,2
600,412.31512451171875,352.0,28.0,306.0,0.0,0.0,2
700,381.6661376953125,352.0,28.0,307.0,0.0,0.0,2
800,350.9171447753906,352.0,28.0,308.0,0.0,0.0,2
900,320.0681457519531,352.0,28.0,309.0,0.0,0.0,2
1000,289.11920166015625,352.0,28.0,310.0,0.0,0.0,2
1000,288.49920654296875,352.0,28.0,310.0,0.0,0.0,2
1100,258.0702209472656,352.0,28.0,311.0,0.0,0.0,2
1200,226.60926818847656,352.0,28.0,312.0,0.0,0.0,2
1300,195.6723175048828,352.0,28.0,313.0,0.0,0.0,2
1400,164.0093536376953,352.0,28.0,314.0,0.0,0.0,2
1500,132.5594024658203,352.0,28.0,315.0,0.0,0.0,2
1564,112.69458770751953,352.0,28.0,315.6400146484375,1.0,0.0,0
1700,69.67646026611328,352.0,28.0,317.0,1.0,0.0,2
2000,412.7176818847656,320.0,30.0,320.0,1.0,0.0,2
2100,380.3477783203125,320.0,30.0,321.0,1.0,0.0,2
2300,316.5899963378906,320.0,30.0,323.0,1.0,0.0,2
2500,252.11508178710938,320.0,30.0,325.0,0.0,0.0,2
2700,186.917236328125,320.0,30.0,327.0,0.0,0.0,2
2800,154.16827392578125,320.0,30.0,328.0,0.0,0.0,2
2836,142.02581787109375,320.0,30.0,328.3599853515625,0.0,1.0,1
2900,121.64832305908203,320.0,30.0,329.0,0.0,1.0,2
3000,88.37039184570312,320.0,30.0,330.0,0.0,1.0,2
3000,87.71038818359375,320.0,30.0,330.0,0.0,1.0,2
3200,22.1724910736084,320.0,30.0,332.0,0.0,1.0,2
3300,451.7333984375,320.0,30.0,333.0,0.0,1.0,2
3600,351.7194519042969,320.0,30.0,336.0,0.0,1.0,2
3800,284.6576232910156,320.0,30.0,338.0,0.0,1.0,2
3900,250.8087158203125,320.0,30.0,339.0,0.0,1.0,2
4000,216.519775390625,320.0,30.0,340.0,0.0,1.0,2
4100,182.46983337402344,320.0,30.0,341.0,0.0,1.0,2
4200,148.31988525390625,320.0,30.0,342.0,0.0,1.0,2
4500,45.61507034301758,320.0,30.0,345.0,0.0,1.0,2
4700,352.3567199707031,320.0,30.0,347.0,0.0,1.0,2
5000,248.1559600830078,320.0,30.0,350.0,0.0,1.0,2
5100,213.45704650878906,320.0,30.0,351.0,0.0,1.0,2
5300,142.7061767578125,320.0,30.0,353.0,0.0,1.0,2
5400,107.35623931884766,320.0,30.0,354.0,0.0,1.0,2
5500,72.26128387451172,320.0,30.0,355.0,0.0,1.0,2
5900,548.0762329101562,320.0,30.0,359.0,0.0,1.0,2
6000,511.767333984375,320.0,30.0,360.0,0.0,1.0,2
6100,476.0783996582031,320.0,30.0,361.0,0.0,1.0,2
6200,439.92950439453125,320.0,30.0,362.0,0.0,1.0,2
6300,403.68060302734375,320.0,30.0,363.0,0.0,1.0,2
6900,184.0870361328125,320.0,30.0,369.0,0.0,1.0,2
7000,147.13809204101562,320.0,30.0,370.0,0.0,1.0,2
7000,146.39808654785156,320.0,30.0,370.0,0.0,1.0,2
7200,72.94021606445312,320.0,30.0,372.0,0.0,1.0,2
7300,35.31828308105469,320.0,30.0,373.0,0.0,1.0,2
7400,562.6615600585938,344.0,36.0,374.0,0.0,1.0,2
7600,488.0387268066406,344.0,36.0,376.0,0.0,1.0,2
7700,450.76580810546875,344.0,36.0,377.0,0.0,1.0,2
7900,375.16790771484375,344.0,36.0,379.0,0.0,1.0,2
8000,336.8389892578125,344.0,36.0,380.0,0.0,1.0,2
8200,261.0210876464844,344.0,36.0,382.0,0.0,0.0,2
8300,222.7721405029297,344.0,36.0,383.0,0.0,0.0,2
8380,191.71719360351562,344.0,36.0,383.79998779296875,1.0,0.0,0
8400,184.42320251464844,344.0,36.0,384.0,1.0,0.0,2
8500,145.97427368164062,344.0,36.0,385.0,1.0,0.0,2
8600,107.42533111572266,344.0,36.0,386.0,1.0,0.0,2
8686,74.19326782226562,344.0,36.0,386.8599853515625,1.0,1.0,1
8800,30.027490615844727,344.0,36.0,388.0,1.0,1.0,2
