Time,Obstacle Distance,Obstacle Size,Is High,Dino Y,Velocity,Action
100,559.5547800000002,33,347,0,301.0,0
200,529.4050300000004,33,347,0,302.0,0
300,499.76112,33,347,0,303.0,0
400,468.80526000000043,33,347,0,304.0,0
700,377.1557400000005,33,347,0,307.0,0
1000,284.91629000000046,33,347,0,310.0,0
1000,284.29629000000045,33,347,0,310.0,0
1100,253.86748000000046,33,347,0,311.0,0
1200,222.4066800000005,33,347,0,312.0,0
1600,97.12344000000047,33,347,0,316.0,0
1641,84.1595300000005,33,347,0,316.41,1
1700,65.15764000000051,33,347,16.613249999999997,317.0,0
1800,33.40784000000052,33,347,38.30325,318.0,0
1900,1.8770500000005157,33,347,52.38975,319.0,0
2000,-30.391729999999495,33,347,59.185500000000005,320.0,0
2000,-30.711729999999495,33,347,59.21475,320.0,0
2100,337.47849649391907,30,350,58.41974999999998,321.0,0
2200,305.0076964939192,30,350,50.06399999999999,322.0,0
2300,273.0809164939192,30,350,34.451249999999995,323.0,0
2400,240.73213649391926,30,350,11.217749999999992,324.0,0
2754,125.41380649391917,30,350,0,327.54,1
2800,110.33693649391921,30,350,12.978749999999998,328.0,0
2900,77.15914649391908,30,350,35.9085,329.0,0
3000,44.53919649391908,30,350,50.948249999999994,330.0,0
3200,-21.65845350608091,30,350,58.924499999999995,332.0,0
3300,-55.24025350608091,30,350,51.5535,333.0,0
3600,262.28392668905656,30,320,0,336.0,0
3700,228.29791668905648,30,320,0,337.0,0
3800,194.8861366890564,30,320,0,338.0,0
3966,138.30271668905633,30,320,0,339.66,1
4000,127.08856668905631,30,320,9.4725,340.0,0
4000,126.4085666890563,30,320,10.02,340.0,0
4100,93.03978668905634,30,320,33.189,341.0,0
4200,58.89098668905636,30,320,49.403999999999996,342.0,0
4300,24.2991966890564,30,320,58.16849999999998,343.0,0
