Time,Obstacle Distance,Obstacle Size,Is High,Dino Y,Velocity,Action
500,511.6269600000003,25,355,0,305.0,0
600,480.77184,25,355,0,306.0,0
700,450.12177999999966,25,355,0,307.0,0
1100,326.83257,25,355,0,311.0,0
1200,295.3714899999999,25,355,0,312.0,0
1300,264.4342799999998,25,355,0,313.0,0
1500,201.6360899999999,25,355,0,315.0,0
1600,170.08705999999987,25,355,0,316.0,0
1795,108.59675999999988,25,355,0,317.95,1
1800,106.6889699999999,25,355,1.77975,318.0,0
2000,42.89085999999992,25,355,45.72149999999997,320.0,0
2100,10.8418699999999,25,355,56.44725000000001,321.0,0
2177,-13.904040000000116,25,355,59.59200000000001,321.77,3
2200,-20.985220000000126,25,355,59.20250000000002,322.0,0
2300,-53.55633000000013,25,355,41.90025000000003,323.0,0
2400,312.94498368591564,29,351,0,324.0,0
2500,280.8199536859158,29,351,0,325.0,0
2600,248.27093368591574,29,351,0,326.0,0
2700,215.6219036859158,29,351,0,327.0,0
2913,145.74604368591602,29,351,0,329.13,1
3000,117.07473368591604,29,351,23.194500000000005,330.0,0
3200,50.87649368591612,29,351,54.976499999999994,332.0,0
3300,17.627333685916085,29,351,59.614500000000014,333.0,0
3380,-9.043916314083951,29,351,57.93074999999998,333.8,3
3400,-15.721716314083949,29,351,56.37574999999998,334.0,0
3600,187.25884034895094,29,351,0,336.0,0
3810,116.81632034895094,29,351,0,338.1,1
3900,86.34769034895098,29,351,23.89275000000001,339.0,0
4100,18.690430348950954,29,351,55.142250000000004,341.0,0
4180,-8.96180965104903,29,351,59.36024999999999,341.8,3
4200,-15.799619651049035,29,351,59.25774999999999,342.0,0
4600,403.89506006096354,30,350,0,346.0,0
4700,369.5918800609637,30,350,0,347.0,0
4800,335.19073006096374,30,350,0,348.0,0
5000,264.6945100609638,30,350,0,350.0,0
5100,229.995450060964,30,350,0,351.0,0
5200,194.84634006096385,30,350,0,352.0,0
5238,181.46348006096386,30,350,0,352.38,1
5300,159.59730006096387,30,350,17.110500000000002,353.0,0
5400,124.24829006096388,30,350,38.63475,354.0,0
5800,-18.147989939036208,30,350,49.71375000000001,358.0,0
5866,-41.7971299390362,30,350,40.01025000000003,358.66,3
6100,202.8911436217614,33,347,0,361.0,0
6259,145.36729362176135,33,347,0,362.59000000000003,1
6400,94.14408362176133,33,347,34.73700000000001,364.0,0
6500,57.69505362176126,33,347,50.33475,365.0,0
6726,-25.04822637823876,33,347,57.95024999999996,367.26,3
6900,274.664708851879,25,355,10.916749999999947,369.0,0
7000,237.71558885187892,25,355,0,370.0,0
7100,200.66654885187899,25,355,0,371.0,0
7200,163.51752885187904,25,355,0,372.0,0
7217,157.19224885187904,25,355,0,372.17,1
7400,88.54550885187902,25,355,42.36450000000001,374.0,0
7500,51.470488851879026,25,355,54.65175000000003,375.0,0
7800,577.3272064682308,30,350,46.99275,378.0,0
7900,539.4781164682308,30,350,29.436000000000025,379.0,0
8000,501.5290164682308,30,350,4.378500000000027,380.0,0
8200,425.3307464682305,30,350,0,382.0,0
8300,387.08164646823053,30,350,0,383.0,0
8500,310.28363646823067,30,350,0,385.0,0
8700,232.6981364682307,30,350,0,387.0,0
8800,193.94809646823066,30,350,0,388.0,0
8859,171.42711646823068,30,350,0,388.59000000000003,1
9000,116.53771646823068,30,350,34.722750000000005,390.0,0
9200,38.73144646823067,30,350,58.35975,392.0,0
9300,-0.516873531769285,30,350,59.01075000000002,393.0,0
9400,-40.2594635317693,30,350,52.03425000000003,394.0,0
9497,204.31747438895155,30,350,38.16000000000003,394.97,3
9733,110.82815438895153,30,350,0,397.33,1
9800,84.18507438895159,30,350,18.351750000000006,398.0,0
9900,43.937054388951594,30,350,39.6735,399.0,0
10000,4.387004388951567,30,350,53.146500000000024,400.0,0
10026,-6.01612561104843,30,350,55.466250000000024,400.26,3
10100,-35.66204561104843,30,350,54.36475000000003,401.0,0
10400,374.51937103320245,30,320,0,404.0,0
10500,334.0703310332025,30,320,0,405.0,0
10600,293.11534103320247,30,320,0,406.0,0
10700,252.8718510332023,30,320,0,407.0,0
10758,229.2487410332023,30,320,0,407.58,3
10800,212.1219110332023,30,320,0,408.0,0
11100,88.86348103320228,30,320,0,411.0,0
11300,6.876401033202242,30,320,0,413.0,0
