Time,Obstacle Distance,Obstacle Height,Obstacle Size,Velocity,Dino Jumping,Dino Ducking,Action
900,336.30426025390625,358.0,22.0,309.0,0.0,0.0,2
1100,274.6176452636719,358.0,22.0,311.0,0.0,0.0,2
1300,212.2219696044922,358.0,22.0,313.0,0.0,0.0,2
1600,117.87834167480469,358.0,22.0,316.0,0.0,0.0,2
1625,109.97576141357422,358.0,22.0,316.25,1.0,0.0,0
1800,54.80046844482422,358.0,22.0,318.0,1.0,0.0,2
2000,374.40423583984375,349.0,31.0,320.0,1.0,0.0,2
2200,311.816650390625,349.0,31.0,322.0,1.0,0.0,2
2500,214.44842529296875,349.0,31.0,325.0,0.0,0.0,2
2851,100.08983612060547,349.0,31.0,328.510009765625,1.0,0.0,0
3000,51.03402328491211,349.0,31.0,330.0,1.0,0.0,2
3300,359.32989501953125,345.0,35.0,333.0,1.0,0.0,2
3400,327.3150329589844,345.0,35.0,334.0,1.0,0.0,2
3500,293.53228759765625,345.0,35.0,335.0,1.0,0.0,2
3600,259.98345947265625,345.0,35.0,336.0,1.0,0.0,2
3800,192.92385864257812,345.0,35.0,338.0,0.0,0.0,2
4000,124.44823455810547,345.0,35.0,340.0,0.0,0.0,2
4074,99.60155487060547,345.0,35.0,340.739990234375,1.0,0.0,0
4200,56.59051513671875,345.0,35.0,342.0,1.0,0.0,2
4300,22.68474578857422,345.0,35.0,343.0,1.0,0.0,2
4700,364.6487731933594,348.0,32.0,347.0,1.0,0.0,2
4800,330.2480773925781,348.0,32.0,348.0,1.0,0.0,2
5000,260.1026916503906,348.0,32.0,350.0,0.0,0.0,2
5287,159.24424743652344,348.0,32.0,352.8699951171875,1.0,0.0,0
5600,48.665550231933594,348.0,32.0,356.0,1.0,0.0,2
6100,209.6780548095703,354.0,26.0,361.0,0.0,0.0,2
6300,137.2805938720703,354.0,26.0,363.0,0.0,0.0,2
6377,109.66471099853516,354.0,26.0,363.7699890136719,1.0,0.0,0
6400,100.93189239501953,354.0,26.0,364.0,1.0,0.0,2
6700,458.28936767578125,320.0,30.0,367.0,1.0,0.0,2
6800,421.5406188964844,320.0,30.0,368.0,1.0,0.0,2
6900,385.796875,320.0,30.0,369.0,1.0,0.0,2
7200,275.02239990234375,320.0,30.0,372.0,0.0,0.0,2
7300,237.40162658691406,320.0,30.0,373.0,0.0,0.0,2
7442,184.71096801757812,320.0,30.0,374.4200134277344,0.0,1.0,1
7900,11.808823585510254,320.0,30.0,379.0,0.0,1.0,2
8200,460.84002685546875,353.0,27.0,382.0,0.0,1.0,2
8500,345.4115905761719,353.0,27.0,385.0,0.0,0.0,2
8600,306.8627624511719,353.0,27.0,386.0,0.0,0.0,2
9037,137.6214599609375,353.0,27.0,390.3699951171875,1.0,0.0,0
