Time,Obstacle Distance,Obstacle Size,Is High,Dino Y,Velocity,Action
300,499.45814000000007,29,351,0,303.0,0
400,469.10937999999965,29,351,0,304.0,0
600,407.80581999999976,29,351,0,306.0,0
700,377.15603999999973,29,351,0,307.0,0
1000,284.9166899999999,29,351,0,310.0,0
1000,284.2966899999999,29,351,0,310.0,0
1200,222.40712999999994,29,351,0,312.0,0
1300,191.47031999999993,29,351,0,313.0,0
1474,136.8590499999999,29,351,0,314.74,1
1500,128.3577499999999,29,351,7.810500000000001,315.0,0
1700,65.15815999999985,29,351,48.64125,317.0,0
1900,1.8775499999998075,29,351,59.49150000000001,319.0,0
2000,-30.071230000000188,29,351,53.733000000000004,320.0,0
2000,-30.71123000000019,29,351,53.541000000000004,320.0,0
2200,220.3621297752,30,350,19.468499999999995,322.0,0
2420,149.28061977520014,30,350,0,324.2,1
2500,123.63776977520013,30,350,21.31199999999999,325.0,0
2600,91.08897977520013,30,350,41.57775000000001,326.0,0
2700,58.44017977520018,30,350,54.34275,327.0,0
2800,25.691369775200187,30,350,59.607000000000006,328.0,0
2900,-7.157440224799821,30,350,57.371249999999996,329.0,0
3000,-40.43623022479983,30,350,47.50124999999999,330.0,0
3100,188.2840104494537,30,350,30.19125,331.0,0
3200,155.4662104494537,30,350,5.666999999999996,332.0,0
3279,128.87517044945363,30,350,0,332.79,1
3300,122.21742044945361,30,350,5.838750000000001,333.0,0
3400,88.53463044945369,30,350,30.738,334.0,0
3500,55.41982044945368,30,350,47.718749999999986,335.0,0
3600,21.87099044945363,30,350,57.406499999999994,336.0,0
3800,-45.864589550546334,30,350,54.19649999999999,338.0,0
4000,211.1456485378477,31,349,21.170249999999974,340.0,0
4000,210.4656485378477,31,349,20.687249999999974,340.0,0
4200,143.2895185378476,31,349,0,342.0,0
4209,139.86918853784758,31,349,0,342.09000000000003,1
4400,74.00583853784755,31,349,43.65675,344.0,0
4500,39.55602853784755,31,349,55.446,345.0,0
4600,5.352218537847605,31,349,59.72999999999999,346.0,0
4700,-29.643581462152376,31,349,56.52524999999999,347.0,0
4800,448.2854739917523,39,341,45.95999999999997,348.0,0
4900,413.4367039917524,39,341,27.827249999999985,349.0,0
5000,378.1379339917525,39,341,1.8997499999999938,350.0,0
5100,343.0881539917527,39,341,0,351.0,0
5200,308.2903739917527,39,341,0,352.0,0
5300,273.04156399175264,39,341,0,353.0,0
5400,237.33878399175273,39,341,0,354.0,0
5500,201.8890139917529,39,341,0,355.0,0
5700,130.6894439917529,39,341,0,357.0,0
5791,98.51913399175285,39,341,0,357.91,1
5800,94.93965399175286,39,341,2.9565,358.0,0
5900,59.089863991752864,39,341,28.39725,359.0,0
6000,23.140053991752836,39,341,46.33649999999998,360.0,0
6300,301.6104907188701,29,351,55.23974999999999,363.0,0
6500,228.44793071886994,29,351,23.539499999999975,365.0,0
6600,192.26413071887,29,351,0,366.0,0
6700,155.61533071886996,29,351,0,367.0,0
6751,136.88595071886996,29,351,0,367.51,1
7000,45.06896071887,29,351,51.30150000000001,370.0,0
7100,8.020170718869991,29,351,58.817249999999994,371.0,0
7200,-29.50058928113002,29,351,58.797,372.0,0
7300,537.2795300304821,30,320,51.2385,373.0,0
7400,500.3037700304826,30,320,36.36974999999998,374.0,0
7600,425.30623003048237,30,320,0,376.0,0
7900,311.68091003048244,30,320,0,379.0,0
7994,276.39087003048235,30,320,0,379.94,3
8000,273.73113003048235,30,320,0,380.0,0
8100,235.6813600304822,30,320,0,381.0,0
8300,159.28182003048244,30,320,0,383.0,0
8400,121.31604003048247,30,320,0,384.0,0
8500,82.48228003048254,30,320,0,385.0,0
8600,43.93248003048251,30,320,0,386.0,0
8700,5.669680030482496,30,320,0,387.0,0
8800,-33.467089969517524,30,320,0,388.0,0
8900,417.70620837211357,40,340,0,389.0,0
9000,378.7574583721136,40,340,0,390.0,0
9000,377.97745837211363,40,340,0,390.0,0
9200,300.1678683721137,40,340,0,392.0,0
9300,261.3110183721138,40,340,0,393.0,0
9400,221.56816837211392,40,340,0,394.0,0
9500,182.11829837211388,40,340,0,395.0,0
9589,147.31970837211387,40,340,0,395.89,1
9600,142.5684383721139,40,340,3.53775,396.0,0
9700,103.31553837211396,40,340,28.605,397.0,0
9900,23.3186983721139,40,340,56.88224999999999,399.0,0
10000,-16.231241627886128,40,340,59.67150000000001,400.0,0
10270,170.26107786386655,30,320,29.91525,402.7,3
10300,158.17589786386657,30,320,22.397750000000002,403.0,0
10500,76.97299786386662,30,320,0,405.0,0
10700,-3.820002136133411,30,320,0,407.0,0
10900,374.93804206108416,30,320,0,409.0,0
11100,292.93999206108424,30,320,0,411.0,0
11200,251.79095206108428,30,320,0,412.0,0
11300,210.54186206108426,30,320,0,413.0,0
11500,127.7437420610843,30,320,0,415.0,0
11800,2.7964620610843056,30,320,0,418.0,0
11900,-39.0526579389157,30,320,0,419.0,0
12000,524.4049480371727,30,320,0,420.0,0
12200,440.2067880371729,30,320,0,422.0,0
12400,355.60860803717287,30,320,0,424.0,0
12600,270.61039803717296,30,320,0,426.0,0
12800,185.21212803717296,30,320,0,428.0,0
12900,142.79200803717302,30,320,0,429.0,0
13000,99.413918037173,30,320,0,430.0,0
13100,56.36481803717298,30,320,0,431.0,0
13200,13.21572803717298,30,320,0,432.0,0
13300,-30.033391962827036,30,320,0,433.0,0
13800,239.1924583270535,30,350,0,438.0,0
13900,195.34336832705347,30,350,0,439.0,0
14000,150.95423832705342,30,350,0,440.0,0
14070,120.57037832705342,30,350,0,440.70000000000005,1
14100,107.78614832705341,30,350,8.36175,441.0,0
14900,454.05102349378774,21,359,0,449.0,0
15000,408.6519534937876,21,359,0,450.0,0
15200,318.9037434937876,21,359,0,452.0,0
15300,273.65465349378775,21,359,0,453.0,0
